"id,title,price,location,area,bedrooms,property_type,date_listed"
"1,Appartement 2P La Marsa,150000,La Marsa - Tunis,85,2,Apartment,2024-01-15"
"2,Villa 4P Sousse,250000,Sousse - Sousse,180,4,Villa,2024-01-10"
"3,Studio Ariana,45000,Ariana - Tunis,40,1,Apartment,2024-01-20"
"4,Terrain Sfax,80000,Sfax - Sfax,500,0,Land,2024-01-05"
"5,Penthouse Tunis Centre,350000,Centre - Tunis,120,3,Apartment,2024-01-18"
"6,Villa moderne Skhira,200000,Skhira - Sfax,200,5,Villa,2024-01-12"
"7,Petit appart El Aouina,65000,El Aouina - Tunis,50,1,Apartment,2024-01-22"
"8,Terrain agricole Manouba,120000,Manouba - Manouba,2000,0,Land,2024-01-08"
"9,Duplex Rades,180000,Rades - Tunis,110,3,Apartment,2024-01-19"
"10,Villa neuve Hammamet,300000,Hammamet - Nabeul,250,6,Villa,2024-01-14"
"11,Studio centre ville,55000,Sfax centre - Sfax,35,1,Apartment,2024-01-21"
"12,Maison Ben Arous,140000,Ben Arous - Ben Arous,95,2,Apartment,2024-01-17"
"13,Penthouse luxe,450000,Marsa centre - Sousse,150,4,Apartment,2024-01-09"
"14,Villa moderne Hammam Lif,280000,Hammam Lif - Tunis,220,5,Villa,2024-01-16"
"15,Terrain ideal Bizerte,95000,Bizerte - Bizerte,1500,0,Land,2024-01-11"
"16,Petit studio Tunis,50000,Tunis centre - Tunis,30,1,Apartment,2024-01-23"
"17,Villa classique Kerkennah,190000,Kerkennah - Sfax,170,4,Villa,2024-01-13"
"18,Appartement confort Zaghouan,75000,Zaghouan - Zaghouan,80,2,Apartment,2024-01-06"
"19,Duplex Skhira,160000,Skhira - Sfax,105,3,Apartment,2024-01-24"
"20,Villa moderne Sfax,320000,Sfax centre - Sfax,280,6,Villa,2024-01-07"
