id,title,price,price_per_m2,location,district,area,bedrooms,property_type,condition,has_parking,has_garden,date_listed,date_scraped,days_listed,price_category,quality_score,features_score,value_score,market_type
3,Villa 3P 319m² - Mahdia,871935,2733.34,Mahdia - Tunisia,Mahdia,319,3,Villa,New,True,True,2026-09-08,2026-09-19,17,Ultra-Luxury,5,2,18.0,Coastal
4,Duplex 4P 93m² - Ben Arous,59841,643.45,Ben Arous - Tunisia,Ben Arous,93,4,Duplex,Good,True,False,2026-09-15,2026-09-19,10,Budget,3,1,82.0,Rural
5,Villa 6P 184m² - Kasserine,272586,1481.45,Kasserine - Tunisia,Kasserine,184,6,Villa,Good,True,False,2026-08-22,2026-09-19,34,Luxury,3,1,60.0,Rural
6,Duplex 3P 93m² - Gafsa,45887,493.41,Gafsa - Tunisia,Gafsa,93,3,Duplex,Good,False,False,2026-09-05,2026-09-19,20,Budget,3,0,91.0,Rural
8,Apartment 3P 102m² - Tunis Centre,239360,2346.67,Tunis Centre - Tunisia,Tunis Centre,102,3,Apartment,Good,False,False,2026-08-16,2026-09-19,40,Premium,3,0,7.0,Urban
9,Duplex 3P 91m² - Sousse Centre,178894,1965.87,Sousse Centre - Tunisia,Sousse Centre,91,3,Duplex,Excellent,True,False,2026-07-25,2026-09-19,62,Premium,4,1,32.0,Urban
11,Apartment 1P 163m² - El Kef,127156,780.1,El Kef - Tunisia,El Kef,163,1,Apartment,Good,True,False,2026-07-29,2026-09-19,58,Standard,3,1,79.0,Rural
12,Duplex 2P 150m² - Ben Arous,114858,765.72,Ben Arous - Tunisia,Ben Arous,150,2,Duplex,Good,True,False,2026-06-25,2026-09-19,92,Standard,3,1,59.0,Rural
13,Apartment 3P 69m² - Kasserine,37488,543.3,Kasserine - Tunisia,Kasserine,69,3,Apartment,Excellent,True,False,2026-08-24,2026-09-19,32,Budget,4,1,91.0,Rural
14,Villa 4P 286m² - Sfax Centre,825904,2887.78,Sfax Centre - Tunisia,Sfax Centre,286,4,Villa,Good,True,True,2026-09-16,2026-09-19,9,Ultra-Luxury,3,2,13.0,Urban
15,Apartment 1P 91m² - Mahdia,181886,1998.75,Mahdia - Tunisia,Mahdia,91,1,Apartment,New,True,False,2026-09-11,2026-09-19,14,Premium,5,1,18.0,Coastal
16,Apartment 1P 168m² - Rades,165337,984.15,Rades - Tunisia,Rades,168,1,Apartment,Good,True,False,2026-09-13,2026-09-19,12,Premium,3,1,62.0,Rural
17,Apartment 2P 77m² - Kairouan,95069,1234.66,Kairouan - Tunisia,Kairouan,77,2,Apartment,Good,True,False,2026-09-18,2026-09-19,7,Standard,3,1,49.0,Rural
18,Apartment 2P 129m² - Jendouba,144194,1117.78,Jendouba - Tunisia,Jendouba,129,2,Apartment,Good,True,False,2026-09-12,2026-09-19,13,Standard,3,1,58.0,Rural
19,Apartment 1P 81m² - Hammamet,182595,2254.26,Hammamet - Tunisia,Hammamet,81,1,Apartment,Good,False,False,2026-08-28,2026-09-19,28,Premium,3,0,10.0,Coastal
20,Apartment 3P 87m² - Nabeul,193618,2225.49,Nabeul - Tunisia,Nabeul,87,3,Apartment,New,True,False,2026-09-18,2026-09-19,7,Premium,5,1,12.0,Coastal
22,Apartment 1P 107m² - Nabeul,153538,1434.93,Nabeul - Tunisia,Nabeul,107,1,Apartment,Excellent,False,False,2026-08-14,2026-09-19,42,Premium,4,0,37.0,Coastal
23,Apartment 2P 154m² - Jendouba,169410,1100.06,Jendouba - Tunisia,Jendouba,154,2,Apartment,Excellent,True,False,2026-09-16,2026-09-19,9,Premium,4,1,59.0,Rural
24,Villa 4P 466m² - Tunis Centre,893231,1916.8,Tunis Centre - Tunisia,Tunis Centre,466,4,Villa,Fair,False,False,2026-09-01,2026-09-19,24,Ultra-Luxury,2,0,44.0,Urban
26,Apartment 2P 64m² - Ariana,72168,1127.62,Ariana - Tunisia,Ariana,64,2,Apartment,Fair,True,False,2026-08-26,2026-09-19,30,Budget,2,1,57.0,Rural
27,Apartment 2P 169m² - La Marsa,314177,1859.04,La Marsa - Tunisia,La Marsa,169,2,Apartment,Fair,False,False,2026-09-17,2026-09-19,8,Luxury,2,0,22.0,Coastal
29,Apartment 2P 125m² - La Marsa,215071,1720.57,La Marsa - Tunisia,La Marsa,125,2,Apartment,Excellent,True,False,2026-09-13,2026-09-19,12,Premium,4,1,29.0,Coastal
31,Villa 3P 457m² - El Kef,515857,1128.79,El Kef - Tunisia,El Kef,457,3,Villa,Good,True,True,2026-08-23,2026-09-19,33,Ultra-Luxury,3,2,69.0,Rural
32,Apartment 2P 40m² - Tunis Centre,64789,1619.72,Tunis Centre - Tunisia,Tunis Centre,40,2,Apartment,Excellent,True,False,2026-09-18,2026-09-19,7,Budget,4,1,31.0,Urban
33,Villa 4P 341m² - Jendouba,190037,557.29,Jendouba - Tunisia,Jendouba,341,4,Villa,New,True,True,2026-09-14,2026-09-19,11,Premium,5,2,93.0,Rural
34,Apartment 2P 124m² - El Kef,151336,1220.45,El Kef - Tunisia,El Kef,124,2,Apartment,Good,True,False,2026-09-17,2026-09-19,8,Premium,3,1,50.0,Rural
35,Apartment 2P 177m² - La Marsa,420039,2373.1,La Marsa - Tunisia,La Marsa,177,2,Apartment,Good,True,False,2026-09-17,2026-09-19,8,Luxury,3,1,5.0,Coastal
36,Apartment 1P 163m² - Kasserine,143120,878.04,Kasserine - Tunisia,Kasserine,163,1,Apartment,Fair,False,False,2026-08-20,2026-09-19,36,Standard,2,0,72.0,Rural
37,Apartment 1P 51m² - Kasserine,31545,618.53,Kasserine - Tunisia,Kasserine,51,1,Apartment,Good,True,False,2026-09-11,2026-09-19,14,Budget,3,1,87.0,Rural
38,Villa 5P 366m² - Monastir,966188,2639.86,Monastir - Tunisia,Monastir,366,5,Villa,Good,True,True,2026-09-18,2026-09-19,7,Ultra-Luxury,3,2,22.0,Coastal
39,Apartment 2P 135m² - Ben Arous,183939,1362.51,Ben Arous - Tunisia,Ben Arous,135,2,Apartment,Good,True,False,2026-09-18,2026-09-19,7,Premium,3,1,41.0,Rural
40,Duplex 2P 179m² - Bizerte,391304,2186.06,Bizerte - Tunisia,Bizerte,179,2,Duplex,Fair,False,False,2026-09-15,2026-09-19,10,Luxury,2,0,14.0,Coastal
41,Apartment 1P 108m² - El Kef,134936,1249.41,El Kef - Tunisia,El Kef,108,1,Apartment,Fair,False,False,2026-07-07,2026-09-19,80,Standard,2,0,47.0,Rural
42,Villa 5P 282m² - Djerba,566624,2009.3,Djerba - Tunisia,Djerba,282,5,Villa,Excellent,False,True,2026-08-12,2026-09-19,44,Ultra-Luxury,4,1,40.0,Coastal
43,Apartment 3P 176m² - Sousse Centre,248311,1410.86,Sousse Centre - Tunisia,Sousse Centre,176,3,Apartment,Excellent,False,False,2026-09-12,2026-09-19,13,Premium,4,0,38.0,Urban
44,House 3P 251m² - Sousse Centre,656200,2614.34,Sousse Centre - Tunisia,Sousse Centre,251,3,House,Fair,True,True,2026-09-15,2026-09-19,10,Ultra-Luxury,2,2,11.0,Urban
45,Apartment 1P 165m² - Sousse Centre,390421,2366.19,Sousse Centre - Tunisia,Sousse Centre,165,1,Apartment,Good,True,False,2026-08-27,2026-09-19,29,Luxury,3,1,6.0,Urban
47,Villa 4P 196m² - Ariana,204644,1044.1,Ariana - Tunisia,Ariana,196,4,Villa,New,False,False,2026-06-25,2026-09-19,92,Premium,5,0,76.0,Rural
49,Apartment 1P 85m² - Mahdia,152448,1793.51,Mahdia - Tunisia,Mahdia,85,1,Apartment,Excellent,True,False,2026-08-26,2026-09-19,30,Premium,4,1,27.0,Coastal
52,Apartment 1P 149m² - Mahdia,356302,2391.29,Mahdia - Tunisia,Mahdia,149,1,Apartment,Good,True,False,2026-09-18,2026-09-19,7,Luxury,3,1,4.0,Coastal
53,Apartment 3P 157m² - Hammamet,389384,2480.15,Hammamet - Tunisia,Hammamet,157,3,Apartment,Excellent,True,False,2026-09-16,2026-09-19,9,Luxury,4,1,2.0,Coastal
54,Apartment 2P 124m² - El Kef,85160,686.77,El Kef - Tunisia,El Kef,124,2,Apartment,Good,True,False,2026-07-18,2026-09-19,69,Standard,3,1,84.0,Rural
55,Apartment 2P 91m² - El Kef,90597,995.57,El Kef - Tunisia,El Kef,91,2,Apartment,Fair,True,False,2026-07-23,2026-09-19,64,Standard,2,1,61.0,Rural
57,Apartment 1P 119m² - El Kef,97952,823.13,El Kef - Tunisia,El Kef,119,1,Apartment,Good,False,False,2026-09-16,2026-09-19,9,Standard,3,0,74.0,Rural
58,Villa 3P 200m² - Monastir,384783,1923.92,Monastir - Tunisia,Monastir,200,3,Villa,Good,True,True,2026-09-14,2026-09-19,11,Luxury,3,2,42.0,Coastal
59,Apartment 1P 73m² - Kasserine,30000,410.96,Kasserine - Tunisia,Kasserine,73,1,Apartment,Fair,True,False,2026-09-13,2026-09-19,12,Budget,2,1,96.0,Rural
60,Apartment 3P 65m² - Jendouba,30000,461.54,Jendouba - Tunisia,Jendouba,65,3,Apartment,Good,True,False,2026-07-05,2026-09-19,82,Budget,3,1,94.0,Rural
62,Apartment 2P 78m² - Rades,35881,460.01,Rades - Tunisia,Rades,78,2,Apartment,Excellent,True,False,2026-09-15,2026-09-19,10,Budget,4,1,95.0,Rural
63,Apartment 2P 148m² - Ben Arous,191040,1290.81,Ben Arous - Tunisia,Ben Arous,148,2,Apartment,Excellent,True,False,2026-09-03,2026-09-19,22,Premium,4,1,44.0,Rural
64,Apartment 4P 98m² - La Marsa,204469,2086.42,La Marsa - Tunisia,La Marsa,98,4,Apartment,Excellent,True,False,2026-09-13,2026-09-19,12,Premium,4,1,15.0,Coastal
65,Apartment 1P 114m² - Jendouba,100890,885.0,Jendouba - Tunisia,Jendouba,114,1,Apartment,Fair,True,False,2026-09-07,2026-09-19,18,Standard,2,1,71.0,Rural
66,Villa 3P 175m² - El Kef,239336,1367.63,El Kef - Tunisia,El Kef,175,3,Villa,Good,False,True,2026-09-13,2026-09-19,12,Premium,3,1,62.0,Rural
67,Apartment 3P 129m² - Kasserine,117141,908.07,Kasserine - Tunisia,Kasserine,129,3,Apartment,Excellent,True,False,2026-09-16,2026-09-19,9,Standard,4,1,70.0,Rural
68,Villa 6P 287m² - Gafsa,218975,762.98,Gafsa - Tunisia,Gafsa,287,6,Villa,Good,True,True,2026-09-08,2026-09-19,17,Premium,3,2,82.0,Rural
69,Apartment 1P 133m² - Sfax Centre,287900,2164.66,Sfax Centre - Tunisia,Sfax Centre,133,1,Apartment,New,True,False,2026-07-18,2026-09-19,69,Luxury,5,1,13.0,Urban
71,Apartment 1P 44m² - Ariana,42517,966.3,Ariana - Tunisia,Ariana,44,1,Apartment,Excellent,True,False,2026-08-13,2026-09-19,43,Budget,4,1,65.0,Rural
